what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1279832964489
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1279832964490
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1279832964490
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1279832964491
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1279832964491
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1279832964492
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1279832964493
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1279832964493
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1279832964494
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1279832964494
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1279832964495
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1279832964495
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1279832964496
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1279832964497
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1279832964498
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1279832964498
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1279832964499
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1279832964499
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1279832964500
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1279832964501
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1279832964501
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1279832964502
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1279832964503
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1279832964504
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1279832964505
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1279832964506
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1279832964506
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1279832964507
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1279832964508
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1279832964508
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1279832964509
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1279832964509
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1279832964510
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1279832964511
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100512-1900,"org.eclipse.team.svn.core",1279832964511
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1279832964512
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1279832964513
os,sysinfo,,,"macosx",1279832964515
arch,sysinfo,,,"x86",1279832964515
ws,sysinfo,,,"cocoa",1279832964515
locale,sysinfo,,,"de_DE",1279832964515
processors,sysinfo,,,"2",1279832964515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1279832964515
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1279832964515
java.specification.name,sysinfo,,,"Java Platform API Specification",1279832964515
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279832964515
java.specification.version,sysinfo,,,"1.6",1279832964515
java.vendor,sysinfo,,,"Apple Inc.",1279832964515
java.version,sysinfo,,,"1.6.0_20",1279832964515
java.vm.info,sysinfo,,,"mixed mode",1279832964515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1279832964515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279832964515
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279832964515
java.vm.specification.version,sysinfo,,,"1.0",1279832964515
java.vm.vendor,sysinfo,,,"Apple Inc.",1279832964516
java.vm.version,sysinfo,,,"16.3-b01-279",1279832964516
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1279832966293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279832966442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279832969609
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1279832986791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279832989734
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20100512-1900,"org.eclipse.team.svn.revision.graph",1279833015867
